subj,lens,obj,resp
1,2,1,1.12222222222222
2,2,1,1.13953488372093
3,2,1,1.16666666666667
4,2,1,1.0952380952381
5,2,1,1.07462686567164
6,2,1,1.05405405405405
7,2,1,1.11538461538462
8,2,1,1.10294117647059
9,2,1,1.0989010989011
10,2,1,1.1264367816092
11,2,1,1.08974358974359
12,2,1,1.29032258064516
13,2,1,1.10714285714286
14,2,1,1.09090909090909
15,2,1,1
16,2,1,1.28
17,2,1,1.24
18,2,1,1.1937984496124
19,2,1,1.15686274509804
20,2,1,1.14285714285714
1,1,1,1.01136363636364
2,1,1,0.981818181818182
3,1,1,1
4,1,1,1
5,1,1,1.01538461538462
6,1,1,1
7,1,1,1.0625
8,1,1,1.01428571428571
9,1,1,1.01123595505618
10,1,1,1
11,1,1,1
12,1,1,1
13,1,1,0.964912280701754
14,1,1,1
15,1,1,1.02941176470588
16,1,1,1
17,1,1,1
18,1,1,1
19,1,1,1
20,1,1,0.931034482758621
1,2,2,1.14851485148515
2,2,2,1.0625
3,2,2,1.16666666666667
4,2,2,1.1025641025641
5,2,2,1.10869565217391
6,2,2,1.07
7,2,2,1.11627906976744
8,2,2,1.09756097560976
9,2,2,1.09821428571429
10,2,2,1.09230769230769
11,2,2,1.14285714285714
12,2,2,0.945945945945946
13,2,2,1.11666666666667
14,2,2,1.21052631578947
15,2,2,1.08
16,2,2,1.14285714285714
17,2,2,1.07692307692308
18,2,2,1.28205128205128
19,2,2,1.08064516129032
20,2,2,1.13513513513514
1,1,2,1.00952380952381
2,1,2,1
3,1,2,1
4,1,2,1
5,1,2,1
6,1,2,1
7,1,2,1.01428571428571
8,1,2,1
9,1,2,1.00877192982456
10,1,2,1
11,1,2,1.02127659574468
12,1,2,1
13,1,2,1.0077519379845
14,1,2,1
15,1,2,0.989690721649485
16,1,2,1
17,1,2,1
18,1,2,1.01470588235294
19,1,2,1.03174603174603
20,1,2,0.988505747126437
